Name	Latitude	Longitude	Category	Checkins
parking lot P6	40.772529	-73.885635	Parking	2
Bag Room, Delta Shuttle	40.7737312317	-73.8847579956	Airport Terminal	23
Chicago Gates	40.7735973784	-73.8845543867	Airport Gate	29
Delta Flight DL 2727	40.773718	-73.884193	Moving Target	1
Gate SH 6	40.7738170064	-73.8838710803	None	20
Shell gas station LGA	40.769453	-73.886434	Gas Station	98
Marine Air Terminal Power Charge Stations	40.7737615181	-73.8837447545	Airport Terminal	8
Route(A) Bus	40.7732316439	-73.8860817689	Bus Line	14
Flight Safety International Inc.	40.7734156588	-73.8863516434	Office	107
Gate 2	40.7734406272	-73.8841724396	Airport Gate	529
Gate SH1	40.7735463945	-73.8847036802	None	23
North Shore LIJ CEMS LaGuardia outpost	40.7710997313	-73.8857429896	Medical Center	296
LGA RE Office - Hangar 7	40.772033682	-73.8861736411	Coworking Space	68
American Express Delta Power Stop	40.773698736	-73.8840548268	Airport Gate	60
BxM6	40.7698358745	-73.8855822129	Bus Line	32
Delta Shuttle Break Room	40.7735962632	-73.8839801798	Monument / Landmark	443
Delta - Touch the Future of Travel	40.7737239652	-73.8846864541	Airport Lounge	30
Shuttle America Inflight Office -LGA/MAT	40.7737934118	-73.8841007634	Office	38
Hertz	40.768349	-73.887209	Rental Car Location	4302
Courtyard New York LaGuardia Airport	40.769448	-73.880238	Hotel	3583
P10 Bus Stop	40.774932	-73.884512	Bus Station	12
Gate 6	40.7737885907	-73.8838251437	Airport Gate	573
Harlem bound M60 bus	40.7696022733	-73.8860760268	Bus Line	29
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
Kohort HQ	40.7719886437	-73.8802133409	Tech Startup	13
Marine Air Terminal	40.7736725825	-73.8843189621	Airport Terminal	8293
Courtyard New York LaGuardia Airport	40.769448	-73.880238	Hotel	3583
Terminal D American Airlines	40.7722314652	-73.8813388064	Airport Terminal	40
Muddy Waters Cafe	40.7711418259	-73.8795357615	None	20
NYC Taxi 6L60	40.7718944958	-73.8799664266	None	2
Delta Shuttle	40.773700482	-73.8841007634	Airport Terminal	6573
Squire Cinema	40.7694398221	-73.8807645901	Movie Theater	11
Gate 3	40.7736518749	-73.8839364052	Airport Gate	643
M is for Music	40.7708263813	-73.8785666227	Music Venue	1
Big Apple Bistro	40.7694497648	-73.8799664266	American Restaurant	145
North Shore LIJ Ambulance Post Laguardia Airport	40.7697379285	-73.8802937315	Airport Terminal	34
Mike's Coffee Truck	40.7695886654	-73.8802879893	Food Truck	297
Southwest Cargo LGA	40.7723997336	-73.8785768105	Airport Terminal	70
World Bean	40.773749	-73.884182	Café	69
Aileron	40.7695832255	-73.8800927549	Hotel Bar	38
NYC Taxi 5Y62	40.7700580835	-73.8814421652	None	16
Delta Marine Air Terminal TSA Screening	40.7737149352	-73.8841696683	Airport Service	1941
Gate 5	40.7737007778	-73.8839342432	Airport Gate	598
Gate 4	40.7737818732	-73.8837647438	Airport Gate	377
